PHP开发工程师,4001-6000,广州市信信发展有限公司,广州 - 天河区,...python）更佳；  8、熟悉阿里云的相关使用方法者优先 9、理解Java语言或者javascript/css者优先考虑 10、善于协作与沟通，热爱技术，不断学习，富有激情，并具备良好的团队合作精神，责任心要强。  工作地址  天河区华强路2号富力盈丰2930
阿里游戏-数据挖掘leader,面议,阿里巴巴集团,广州,...Python，熟悉C++或Java之一； 4、需有3年以上大规模用户数据处理经验，BAT互联网相关从业经验优先考虑。
阿里游戏-资深数据挖掘工程师-广州,面议,阿里巴巴集团,广州,...Python，熟悉C++或Java之一； 4、有大规模用户数据处理经验者优先。
阿里游戏-全栈高级工程师,面议,阿里巴巴集团,广州,...Python等，java尤佳 4.本科以上，3年以上互联网工作经验，
应用维护工程师,4001-6000,工信通(北京)信息技术有限公司,广州,...Python一种），对硬件有一定了解优先；  3、熟悉linux下的常用的如DNS，SENDMAIL，SNMP，NTP等服务的搭建、配置；  4、对常用的中间件如tomcat等有一定了解，能够进行性能分析、调优等优先；  5、有较强的学习能力，愿意从事linux下的相关运维工作；...
高级测试工程师（广州）,8001-10000,杭州友声科技股份有限公司,广州 - 天河区,...Python、Shell中的一种，有实际编程经验者优先；  4、掌握Oracle、mysql或者SQL Server数据库；  5、具有单元测试、集成测试经验者优先；  6、有2年以上年自动化测试经验者优先；  7、熟练使用Linux或Unix；  8、良好的语言与书面表达及理解...
高级软件测试工程师,10001-15000,北京慧云联动科技有限公司,广州 - 天河区,...Python 等至少 1 门编程语言，及常见的 Android/ iOS 自动化测试工具；   3 、熟悉移动互联网产品自动化测试工具的使用和编写，如 junit 、 robotium 、 monkey 、 uiautomator 、 monkeyrunner 等；   4 、熟...
高薪定制Linux运维师,4001-6000,芜湖达内软件科技有限公司,广州,岗位职责：  1、计算机及相关专业专科以上学历；  2、深入理解LINUX系统，一年以上基于LINUX/UNIX平台的系统运维经验；  3、熟练使用LINUX下各种常用命令，能够独立编写shell脚本；  4、至少熟悉如下一种脚本语言，如：perl、python等；  5、熟练掌握n...
高级运维工程师（支付业务）,10001-15000,唯品会(中国)有限公司 ,广州,"...python/perl)编程，了解php/java等编程语言,分析日志定位问题。 6. 熟悉SQL语言的基本操作，首选MYSQL，具有良好文档编写和文字表达能力； 7. 优秀的学习钻研能力，良好的问题分析与解决能力，良好的危机管理和事件管理技能，以及跨职能团队的沟通协调能力,且抗..."
高级Java开发工程师（支付业务）,15001-20000,唯品会(中国)有限公司 ,广州,"...Python、Perl其中至少一种脚本语言。 3. 熟悉Spring、mybatis、Hibernate等框架体系，并有实际开发经验和和设计理念，有独到见解者更佳；熟悉memcached , redis等缓存的特性。 4. 熟悉MongoDB、rabbitMq/activeMQ、..."
大数据开发工程师（中高级）,10001-15000,广州永霸信息科技股份有限公司,广州,...Python程序开发经验  5、具有较强的文档撰写能力
大数据开发工程师,8001-10000,广州永霸信息科技股份有限公司,广州,任职要求：   1、熟悉Spark相关技术，具有2年以上Spark开发经验。  2、至少精通Scala、Python其中一门语言，熟悉Spark SQL  3、具有良好的故障定位及诊断能力
高级数据ETL开发工程师,15001-20000,唯品会(中国)有限公司 ,广州,...Python等脚本开发能力；  8、熟悉Java开发语言更佳；  9、具有电商流量、物流、销售归因等业务分析经验的更佳。
中级/高级Web前端开发工程师,10001-15000,广州凤长鸣信息技术有限公司,广州 - 天河区,...Python等；  7、具备良好的沟通能力、执行力以及团队协作精神.      素质较好者薪酬可再商议        公司娱乐金融理财平台  pc端： http://www.zyc18.com/financing/plan/detail/giftId/16  wap端： http...
系统运维工程师,15001-20000,广州满百千网络科技有限公司,广州,...Python、Perl其中一种优先；   5、对虚拟化、数据库、web、网络等技术了解优先；   6、熟悉网站运维的一些常规操作，能处理运维的相关问题；   7、较强的逻辑思维、梳理归纳能力，善于分解任务；敏锐而严谨，热衷于产品的完善。
